id,blockTypeKey,rarityKey,rarityName,baseValueA,baseValueB
string,string,string,string,float,float
both,both,both,both,both,both
复合ID,引用blockType.blockTypeKey,品质枚举Key,品质名,主数值(攻击=伤害/倍率=倍率/盾=盾值),副数值(预留)
,,,,,
AttackAdd_White,AttackAdd,White,白,8,0
AttackAdd_Blue,AttackAdd,Blue,蓝,14,0
AttackAdd_Purple,AttackAdd,Purple,紫,22,0
AttackAdd_Gold,AttackAdd,Gold,金,34,0
AttackMultiply_White,AttackMultiply,White,白,1.2,0
AttackMultiply_Blue,AttackMultiply,Blue,蓝,1.5,0
AttackMultiply_Purple,AttackMultiply,Purple,紫,1.9,0
AttackMultiply_Gold,AttackMultiply,Gold,金,2.5,0
Shield_White,Shield,White,白,6,0
Shield_Blue,Shield,Blue,蓝,11,0
Shield_Purple,Shield,Purple,紫,18,0
Shield_Gold,Shield,Gold,金,28,0
