id,displayName,maxHp,attackDamage,rewardGold,rewardHeal,behaviorType,initialDistanceSteps,colorHex,spawnWeight,prefabKey,abilityIds
int,string,int,int,int,int,string,int,string,int,string,string
both,both,both,both,both,both,both,both,client,both,client,both
敌人ID,显示名,基础血量,基础攻击,击杀金币,击杀回血,行为类型,初始距离步数,颜色hex,刷新权重,Prefab Key,Ability IDs
,,,,,,,,,,,
3001,荆棘神像,40,8,20,8,ground_melee,-1,F26161,100,default,none
3002,铁信使,70,12,30,10,ground_melee,-1,FD8540,100,default,none
3003,尖刺图腾,110,18,45,12,ground_melee,-1,F2BD3D,100,default,none
3004,战祭司,160,25,60,15,ground_melee,-1,E65ECA,100,default,none
3005,深渊领主,225,35,80,18,ground_melee,-1,857AFF,100,default,none
3901,天空妖灵,48,6,18,5,flying_ranged,0,7FD6FF,100,bird,none
